Price,Open,High,Low,Vol.,
233.14,234.83,235.51,232.55,79.78M,
236.78,236.91,237.67,234.6,77.41M,
237.46,236.96,237.79,235.11,104.09M,
236.39,232.98,236.76,232.97,97.37M,
231.17,235.43,235.45,230.58,83.73M,
233.97,231.39,234.01,231.32,77.77M,
230.43,232.13,233.17,229.05,84.11M,
234.14,235.38,236.02,233.84,80.48M,
235.31,234.3,235.71,232.1,101.12M,
237.15,237.29,239.14,236.82,105.95M,
240.62,242.61,243.14,238.39,97.24M,
242.67,244.05,245.17,241.29,110.81M,
243.54,244.16,245.21,242.53,114.94M,
243.11,238.12,243.38,238.08,125.89M,
237.04,236.72,237.65,234.91,111.62M,
237.02,234.82,237.05,232.71,97.44M,
233.98,238.07,238.11,233.17,97.74M,
237.37,235.55,238.43,235.3,116.21M,
238.66,239.87,240.56,236.81,128.68M,
239.53,238.16,239.55,237.24,108.76M,
238.18,238.74,238.76,237.54,99.14M,
235,232.76,235.19,232,91.76M,
233.24,235.69,236,232.14,87.30M,
234.97,235.19,235.66,233.71,128.63M,
234.56,232,234.65,232,106.70M,
230.77,231.58,232.3,229.85,101.38M,
230.56,228.59,231.96,228.56,108.06M,
229.22,230.86,231.31,228.92,105.76M,
231.11,230.24,231.48,229.87,98.69M,
227.25,227.48,228.4,226.26,92.25M,
226.98,228.68,228.88,226.51,97.72M,
225.36,225.63,226.75,224.86,94.24M,
223.51,224.83,225.51,222.66,88.58M,
224.54,224.35,225.58,223.17,113.64M,
228.8,226.86,228.81,225.98,112.10M,
226.44,223.67,226.58,222.38,87.92M,
225.1,227.22,227.28,224.24,83.43M,
227.79,227.25,229.66,226.48,103.56M,
226.95,226.87,227.56,226.02,102.51M,
226.99,224.29,227.31,223.84,105.86M,
223.76,222.63,223.8,222.4,147.60M,
217.81,217.23,219.73,216.3,126.73M,
217.65,217.69,218.43,215.18,106.04M,
217.22,213.22,217.75,213.14,91.66M,
213.85,213.28,214.04,211.72,76.24M,
214.41,213.92,214.64,212.92,86.53M,
213.73,213.92,214.65,212.82,92.27M,
211,210.76,212.04,209.55,78.64M,
209.69,209.3,209.7,207.89,87.88M,
206.62,203.81,206.86,202.42,80.87M,
206.48,206.83,207.72,205.43,94.99M,
201.79,201.19,202.01,198.79,89.31M,
199.68,201.36,201.37,194.85,98.48M,
202.63,207.4,207.49,200.01,98.89M,
204.42,210.16,210.19,203.79,97.56M,
210.49,213.8,214.09,210.27,89.31M,
208.06,203.6,208.47,203.28,81.54M,
206.29,206.7,208.95,205.79,75.43M,
210.57,212.84,212.84,208.78,79.66M,
214.92,212.7,216.43,212.54,99.73M,
212.14,212.64,213.36,210.89,82.10M,
212.14,212.29,213.59,210.65,69.86M,
211.73,212.25,212.25,209.77,75.14M,
216.85,217.93,218.52,216.46,70.67M,
220.59,219.44,221.29,217.67,76.16M,
218.87,219.44,220.42,218.04,79.32M,
217.22,219.07,219.4,216.63,76.48M,
217.07,215.62,217.52,215.52,69.03M,
213.73,214.09,214.09,211.77,66.97M,
216.38,216.4,217.42,214.95,68.81M,
213.84,216.12,218.01,213.19,89.18M,
218.37,218.11,219,216.96,84.18M,
215.46,216.14,217.79,213.26,74.48M,
215.38,212.8,215.73,212.15,80.17M,
216.2,211.27,216.2,211.22,89.97M,
207.56,211.52,211.71,207.11,73.34M,
209.01,210.54,210.72,208.66,66.60M,
208.92,210.41,210.96,207.98,71.14M,
216.91,215.6,217.16,214.95,72.26M,
216.23,212.02,217.16,211.92,106.69M,
209.08,210.32,210.7,206.86,87.60M,
207.77,202.53,208.87,200.84,99.38M,
203.5,210.82,210.93,201.94,112.15M,
208.8,210.51,211.31,206.59,83.10M,
206.52,211.76,212.64,205.68,76.98M,
215.06,213.71,215.21,212.65,100.50M,
211.2,211.73,213.35,209.76,94.15M,
207.23,210.1,210.89,203.97,103.12M,
204.55,206.33,207.91,200.99,128.63M,
213.6,218.37,218.48,212.28,98.80M,
219.87,214.21,220.54,213.5,106.61M,
218.83,218.5,219.66,214.07,104.06M,
215.87,216.9,219.44,215.06,88.52M,
220.91,224.78,224.83,217.97,98.69M,
222.81,224.3,225.86,221.29,75.66M,
224.41,232.12,232.46,223.64,87.14M,
229.47,232.74,233.71,229.47,84.36M,
232.53,227.14,232.53,226.05,81.64M,
230.34,231.75,232.32,229.19,88.65M,
231,229.39,232.42,229.09,86.70M,
235.77,234.62,236.59,230.41,91.50M,
234.67,232.94,235.64,230.86,69.04M,
235.3,240.47,240.65,235.02,76.14M,
